  record# Type Ch         TimeTag        TrueTime/ns    DTime
      1315 CHN 0            6594381          329720204   1061
      1317 CHN 0            6607170          330359656   1007
      1319 CHN 0            6608854          330443857    995
      1321 CHN 0            6610071          330504707    982
      1323 CHN 0            6619019          330952108   1266
      1325 CHN 0            6633614          331681861    630
      1326 CHN 0            6634361          331719211   2241
      1328 CHN 0            6636106          331806461   1025
      1330 CHN 0            6661767          333089516   1111
      1332 CHN 0            6663057          333154016   1026
      1335 CHN 0            6703965          335199423   1013
      1337 CHN 0            6719873          335994826   1022
      1340 CHN 0            6745288          337265580   1194
      1341 CHN 0            6746106          337306481   1073
      1343 CHN 0            6753412          337671782   1014
      1345 CHN 0            6756457          337824032   1235
      1347 CHN 0            6761954          338098883   1003
      1349 CHN 0            6764131          338207734    718
      1351 CHN 0            6766391          338320734    991
      1353 CHN 0            6773382          338670285    691
      1355 CHN 0            6776968          338849586   1001
      1357 CHN 0            6778212          338911786    515
      1358 CHN 0            6778858          338944086   1056
      1360 CHN 0            6779225          338962436   1174
      1362 CHN 0            6797819          339892140   1027
      1364 CHN 0            6810862          340544292   1004
      1366 CHN 0            6817650          340883693   1094
      1368 CHN 0            6824213          341211844   1045
      1370 CHN 0            6830636          341532995    706
      1372 CHN 0            6834164          341709396   1016
      1374 CHN 0            6835324          341767396    156
      1376 CHN 0            6846206          342311498   1008
      1378 CHN 0            6867578          343380102   1060
      1380 CHN 0            6868566          343429502   1126
      1382 CHN 0            6897465          344874457   1814
      1384 CHN 0            6908439          345423159   1028
      1386 CHN 0            6912981          345650260   1024
      1388 CHN 0            6919629          345982661    637
      1391 CHN 0            6964324          348217419    994
      1393 CHN 0            6987644          349383423   1135
      1395 CHN 0            6994371          349719774   1065
